Designator,Mid X,Mid Y,Layer,Rotation
R103,72.8250mm,37.5000mm,Top,0.0
R104,72.8250mm,34.2500mm,Top,0.0
R106,121.9250mm,114.1650mm,Top,0.0
R107,123.7000mm,116.2150mm,Top,0.0
R108,119.5000mm,99.6500mm,Top,180.0
R109,119.5250mm,101.4500mm,Top,0.0
R110,120.3750mm,94.7000mm,Top,180.0
R111,117.1000mm,96.4500mm,Top,180.0
R112,106.0000mm,93.9000mm,Top,90.0
R113,108.4500mm,109.5500mm,Top,0.0
R114,111.9250mm,107.8000mm,Top,0.0
R115,105.2500mm,100.9500mm,Top,90.0
R116,108.8500mm,100.9250mm,Top,270.0
R117,107.9500mm,97.9500mm,Top,180.0
R120,131.7500mm,115.1500mm,Top,180.0
R121,133.4000mm,105.1500mm,Top,90.0
R122,88.3500mm,123.3500mm,Top,90.0
R123,118.4250mm,90.2500mm,Top,0.0
R124,121.7750mm,90.2500mm,Top,0.0
R125,139.9500mm,85.6500mm,Top,0.0
R126,118.5750mm,82.7500mm,Top,0.0
R127,121.8750mm,82.7500mm,Top,0.0
R128,139.9750mm,83.9000mm,Top,0.0
R130,103.9000mm,109.2500mm,Top,180.0
R131,106.8500mm,104.2750mm,Top,270.0
R132,103.1000mm,104.2500mm,Top,90.0
U1,161.4450mm,87.4000mm,Top,90.0
U2,171.0200mm,68.9500mm,Top,270.0
U3,154.7500mm,58.3000mm,Top,0.0
U9,148.4000mm,29.0875mm,Top,0.0
U10,161.4500mm,29.9875mm,Top,0.0
U11,102.4000mm,24.4875mm,Top,0.0
U18,136.0000mm,112.1250mm,Top,0.0
U19,132.8000mm,89.0500mm,Top,0.0
U20,132.8000mm,81.5000mm,Top,0.0
U21,142.3000mm,89.6000mm,Top,270.0
